Дата;Запуск;Космодром;Стартовый комплекс;Ракета-носитель;Результат
15.06.07 00:00:00;Запуск космического аппарата TerraSAR-X;Байконур  ;СК ракеты РС-20. Пл. №109  ;РС-20  ;Успешный 
30.05.07 00:00:00;Запуск космических аппаратов Globalstar;Байконур  ;СК 17П32-6 РН типа Р-7. Пл. №31. ПУ №6  ;Союз-ФГ  ;Успешный 
12.05.07 00:00:00;Запуск грузового космического корабля «Прогресс М-60»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
17.04.07 00:00:00;Групповой запуск КА ракетой РС-20;Байконур  ;СК ракеты РС-20. Пл. №109  ;РС-20  ;Успешный 
10.04.07 00:00:00;Запуск космического аппарата Anik F3;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
07.04.07 00:00:00;Запуск пилотируемого космического корабля «Союз ТМА-10»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-ФГ  ;Успешный 
18.01.07 00:00:00;Запуск грузового космического корабля «Прогресс М-59»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
25.12.08 00:00:00;Запуск блока КА «Глонасс-М»;Байконур  ;СК РН типа Протон. Пл. №81. ПУ №24  ;Протон-М  ;Успешный 
10.12.08 00:00:00;Запуск КА «Сиель-2»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
26.11.08 00:00:00;Запуск грузового космического корабля «Прогресс М-01М»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
05.11.08 00:00:00;Запуск КА «Астра-1М»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
12.10.08 00:00:00;Запуск пилотируемого космического корабля «Союз ТМА-13»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-ФГ  ;Успешный 
25.09.08 00:00:00;Запуск блока КА «Глонасс-М»;Байконур  ;СК РН типа Протон. Пл. №81. ПУ №23  ;Протон-М  ;Успешный 
20.09.08 00:00:00;Запуск КА «Нимик-4»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
10.09.08 00:00:00;Запуск грузового космического корабля «Прогресс М-65»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
29.08.08 00:00:00;Групповой запуск КА «РепидАй»;Байконур  ;СК ракеты РС-20. Пл. №109  ;РС-20  ;Успешный 
19.08.08 00:00:00;Запуск КА «Инмарсат-4Ф3»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
15.05.08 00:00:00;Запуск грузового космического корабля «Прогресс М-64»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
28.04.08 00:00:00;Запуск «Амос-3» с космодрома Байконур;Байконур  ;СК 11П877 РН Зенит. Пл. №45. ПУ №1  ;Зенит-3SLБ  ;Успешный 
27.04.08 00:00:00;Запуск КА «ЖСТБ-В2/Б»;Байконур  ;СК 17П32-6 РН типа Р-7. Пл. №31. ПУ №6  ;Союз-ФГ  ;Успешный 
08.04.08 00:00:00;Запуск пилотируемого космического корабля «Союз ТМА-12»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-ФГ  ;Успешный 
15.03.08 00:00:00;Запуск КА «АМС-14»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Частично успешный 
11.02.08 00:00:00;Запуск КА «Тор-5» («Тор-2R»);Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
05.02.08 00:00:00;Запуск «Прогресс М-63»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
28.01.08 00:00:00;Запуск КА «Экспресс-АМ33»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
29.12.09 03:22:00;Запуск КА «Дирек ТВ-12»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
21.12.09 00:52:00;Запуск транспортного пилотируемого корабля «Союз ТМА-17»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-ФГ  ;Успешный 
01.12.09 00:00:00;Запуск КА «Интелсат-15»;Байконур  ;СК 11П877 РН Зенит. Пл. №45. ПУ №1  ;Зенит-3SLБ  ;Успешный 
23.11.09 00:00:00;Запуск КА «Дабл Ю 7»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
10.11.09 00:00:00;Запуск транспортного корабля-модуля «Прогресс М-МИМ2»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
02.11.09 00:00:00;Запуск космических аппаратов «СМОС» и «Проба-2»;Плесецк  ;СК 133/3 РН Рокот  ;Рокот  ;Успешный 
15.10.09 00:00:00;Запуск ТГК «Прогресс М-03М»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
30.09.09 00:00:00;Запуск пилотируемого космического корабля «Союз ТМА-16»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-ФГ  ;Успешный 
17.09.09 00:00:00;Запуск КА «Нимик-5»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
17.09.09 00:00:00;Запуск КА «Метеор-М»;Байконур  ;СК 17П32-6 РН типа Р-7. Пл. №31. ПУ №6  ;Союз-2 с РБ Фрегат  ;Успешный 
11.08.09 00:00:00;Запуск КА «АзиаСат-5»;Байконур  ;СК РН типа Протон. Пл. №200. ПУ №39  ;Протон-М  ;Успешный 
29.07.09 00:00:00;Утилизация МБР РС-20 методом пуска с попутным выведением КА «ДубайСат-1», «Деймос-1», «ЮК ДМС-2», «НаноСат-1В», «АпрайзСат-3», «АпрайзСат-4»;Байконур  ;СК ракеты РС-20. Пл. №109  ;РС-20  ;Успешный 
24.07.09 00:00:00;Запуск ТГК «Прогресс М-67»;Байконур  ;СК 17П32-5 РН типа Р-7. Пл. №1. ПУ №5  ;Союз-У  ;Успешный 
