Управление;Реестровый номер;Номер сертификата соответствия аэропорта;Наименование юридического лица;Наименование аэропорта
Северо-Восточное;4.А-08.СВ;ФАВТ СВ.А.00004;ФГУП «ЧукотАВИА»;Марково
Северо-Восточное;5.А-08.СВ;ФАВТ СВ.А.00005;ООО «AD REM»;Омсукчан
Северо-Восточное;6.А-08.СВ;ФАВТ СВ.А.00006;Администрация Магаданской области ОГУ;Сеймчан
Северо-Восточное;7.А-08.СВ;ФАВТ СВ.А.00007;Администрация Магаданской области ОГУП;Северо-Эвенск
Северо-Восточное;8.А-09.СВ;ФАВТ СВ.А.00008;ФГУП «ЧукотАВИА»; Лаврентия
Северо-Восточное;9.А-09.СВ;ФАВТ СВ.А.00009;ФГУП «ЧукотАВИА»;Мыс Шмидта
Северо-Восточное;10.А-08.ДВ;ФАВТ ДВ.А.00425;ФГУП «ЧукотАВИА»;Омолон
Северо-Восточное;11.А-09.СВ;ФАВТ СВ.А.00010;ЗАО «Чукотская горно-геологическая компания»;Купол
Северо-Западное;1.СЗ;ФАВТ СЗ.А.00025   до 31 марта 2013 года;ОАО «Аэропорт»;Апатиты   (Хибины)
Северо-Западное;8.СЗ;ФАВТ СЗ.А. 00015   до 22 января 2013 года;ГУ РК «Северо-Западная база авиационной охраны лесов»;Петрозаводск   (Пески)
Северо-Западное;5.СЗ;ФАВТ СЗ.А.00116   до 27 февраля 2011 года;ОАО «Вологодское авиационное предприятие»;Вологда
Северо-Западное;3.СЗ;ФАВТ СЗ.А. 00114   до 25 января 2011 года;ОАО «Вологодское авиационное предприятие»;Вытегра
Северо-Западное;4.СЗ;ФАВТ СЗ.А. 00115   до 25 января 2011 года;ОАО «Вологодское авиационное предприятие»;Кичменгский Городок
Северо-Западное;14.СЗ;ФАВТ СЗ.А. 00160   до 22 октября 2011 года;ОАО «Карельский окатыш»;Костомукша
Северо-Западное;2.СЗ;ФАВТ СЗ.А. 00113   до 25 января 2011 года;ОАО «Вологодское авиационное предприятие»;Великий Устюг
Северо-Западное;6.СЗ;ФАВТ СЗ.А. 00102   до 20 августа 2010 года;ООО «Авиапредприятие «Северсталь»;Череповец
Татарское;1.ТТ;ФАВТ ТТ.А.00002;ОАО «АК БАРС АЭРО»;Бугульма
Татарское;2.ТТ;ФАВТ ТТ.А.00001;Государственное учреждение Республики Марий Эл «Аэропорт Йошкар-Ола»;Йошкар-Ола
Тюменское;1.ТЮ;ФАВТ УР.А.00164;Открытое акционерное общество «Аэропорт Белоярский»;Аэропорт   БЕЛОЯРСКИЙ
Тюменское;2.ТЮ;ФАВТ ТЮ.А.00059;Открытое акционерное общество «Аэропорт Сургут» ;Аэропорт   БЕРЕЗОВО   
Тюменское;3.ТЮ;ФАВТ ТЮ.А.00071;Открытое акционерное общество «Аэропорт Сургут» ;Аэропорт   ИГРИМ 
Тюменское;15.ТЮ;ФАВТ ТЮ.А.00001;Закрытое акционерное общество «Кондаавиа» ;Аэропорт   КОНДИНСКОЕ
Тюменское;4.ТЮ;ФАВТ УР.А.00182;Муниципальное унитарное предприятие «Аэропорты Мангазеи»;Аэропорт   КРАСНОСЕЛЬКУП
Тюменское;5.ТЮ;ФАВТ ТЮ.А.00072;Открытое акционерное общество «Аэропорт Сургут»;Аэропорт   МЫС КАМЕННЫЙ
Тюменское;6.ТЮ;ФАВТ ТЮ.А.00035;Открытое акционерное общество «Надымское авиапредприятие»;Аэропорт   НАДЫМ
Тюменское;7.ТЮ;ФАВТ ТЮ.А.00065;Открытое акционерное общество «Новоуренгойский объединенный авиаотряд»;Аэропорт   НОВЫЙ УРЕНГОЙ
Тюменское;8.ТЮ;ФАВТ УР.А.00136;Открытое акционерное общество «Аэропорт Нягань»;Аэропорт   НЯГАНЬ
Тюменское;9.ТЮ;ФАВТ ТЮ.А.00078;Открытое акционерное общество «Аэропорт Салехард»;Аэропорт   САЛЕХАРД
Тюменское;10. ТЮ;ФАВТ УР.А.00139;Общество с ограниченной ответственностью «Аэропорт Советский»;Аэропорт   СОВЕТСКИЙ 
Тюменское;11. ТЮ;ФАВТ УР.А.00184;Муниципальное унитарное предприятие «Аэропорт Тарко – Сале»;Аэропорт   ТАРКО - САЛЕ
Тюменское;12. ТЮ;ФАВТ УР.А.00183;Муниципальное унитарное предприятие «Аэропорты Мангазеи»;Аэропорт   ТОЛЬКА
Тюменское;13. ТЮ;ФАВТ УР.А.00185;Муниципальное унитарное предприятие «Аэропорт Тарко – Сале»;Аэропорт   УРЕНГОЙ 
Тюменское;14. ТЮ;ФАВТ УР.А.00111;Общество с ограниченной ответственностью авиапредприятие «Газпром авиа»;Аэропорт   ЯМБУРГ 
Тюменское;16.ТЮ;ФАВТ.ТЮ.А.00073;Открытое акционерное общество «Аэропорт Сургут»;Аэропорт ТАЗОВСКИЙ
Тюменское;17.ТЮ;ФАВТ.ТЮ.А.00019;Открытое акционерное общество «Нефтеюганский объединенный авиаотряд»;Аэропорт   НЕФТЕЮГАНСК
Тюменское;18.ТЮ;ФАВТ.ТЮ.А.00037;Открытое акционерное общество «Аэропорт Урай»;Аэропорт   УРАЙ
Уральское;1.УР;ФАВТ УР.А.00200;ОАО «Аэропорт Курган»;Курган
Уральское;2.УР;ФАВТ УР.А.00201;ОАО «Второе Свердловское авиапредприятие»;Уктус
Межрегиональное;8.ЦР;ФАВТ ЦР.А.00032 от 27.11.09г.   до 27.11.12г.    ;Государственное   учреждение   Владимирской области   «Владимирская база   Авиационной охраны лесов»;    Владимир        
Межрегиональное;4.ЦР;ФАВТ ЦР.А.00127   от 01.08.08г.   до 01.08.11г.    ;ОАО «Костромское авиапредприятие»;Кострома    
Межрегиональное;2.ЦР;ФАВТ ЦР.А.00002   от 09.02.09г.   до 09.02.12г.;Областное   Государственное   Казенное предприятие «Липецкий аэропорт»;Липецк    
Межрегиональное;9.ЦР;ФАВТ ЦР.А.00039   от 04.02.10г.   до 08.02.13г.;ОАО «Аэропорт Старый Оскол»;Старый Оскол    
Межрегиональное;7 .ЦР;ФАВТ ЦР.А.00023   от 07.09.09г.   до 17.09.12г.;ОАО «Аэропорт Тамбов»;Тамбов    
Межрегиональное;3. ЦР;ФАВТ ЦР А.00021   от 14.07.09г.   до 19.07.12г.;ООО «Аэропорт Змеево»;Тверь (Змеево)    
Межрегиональное;12.ЦР;ФАВТ ЦР А.00040   от 08.02.10   до 08.02.13;ФГОУ ВПО УВАУ ГА;Сасово
Межрегиональное;11.ЦР;ФАВТ ЦР А.00014   от 14 .05.09   до 19 .05.12;ОАО «НПО «Взлет»»;Солнцево
Межрегиональное;10.ЦР;ФАВТ ЦР А.00022   от 16.07.09   до 20.07.12;ЗАО «МАРЗ РОСТО»;Черное
Южное;2. ЮЖ;ФАВТ ЮЖ.А.00001;ООО «Аэропорт-Ейск»;Ейск
Южное;3. ЮЖ;ФАВТ ЮЖ.А.00003;ОАО «Аэропорт Магас»;Магас (Слепцовская)
Южное;4.ЮЖ;ФАВТ   ЮЖ.А.00004;ОАО «Таганрогский АНТК им.Бериева»;Таганрог
