Номер сертификата;Название;Полное название;Юридический адрес;Аэропорты базирования;Контролирующее МТУ;Типы ВС
449;ИркутскАВИА;"ЗАО ""Авиакомпания ""ИркутскАВИА""";664009 г.Иркутск, Ширямова,9;Иркутск;Вост.-Сиб. МТУ;Ми-8
5;Кавминводыавиа;"ФГУАП ""КАВМИНВОДЫАВИА""";357205 Ставропольский край, Минеральный Воды-5,а/п;Мин. Воды;Южное МТУ;"Ту-204; Ту-154Б; Ту-154М"
356;Казанское АП;"ОАО ""Казанское авиапредприятие""";420061, Р.Татарстан, г.Казань, ул. П.Лумумбы, 49а;Казань;Татарское МТУ;"Ан-2; Ил-86; Л-410УВП-Э; Ми-2; Ми-8; R-44"
127;Камчатские авиалинии;"ООО авиационная компания ""Камчатские авиалинии""";684007 Елизово,Камчатск.кра й, пр-д Излучина, д.4;Авачинский, П.-Камчатский;Камчатское МТУ;"Ми-2; Ми-8"
455;КАПО Авиа;"ЗАО ""КАПО Авиа""";420036 Р.Татарстан, г.Казань, ул.Дементьева, д.1;Казань, Домодедово;Татарское МТУ;Ил-62М
140;Катэкавиа;"ООО""Производственнокоммерческая фирма"" ""КАТЭКАВИА""";662320 Шарыпово Красноярский край, Аэропорт;Красноярск-Чере;Красноярск. МТУ;Ан-24
340;Кировское АП;"ОАО ""Кировское авиапредприятие""";610009 Россия, г. Киров, аэропорт;Киров;Приволжск. МТУ;"Ан-2; Ми-2"
165;Когалымавиа;"ООО ""Авиакомпания Когалымавиа""";626486 Тюменская обл.,г.Когалым, ул.Авиаторов, а/п;Сургут, Когалым, Домодедово;Приобское МТУ;"Ми-8; Ту-134А; BELL-430;  Ту-154; Ту-154М; А-320; CL-600"
174;Комиавиатранс;"Федеральное гос.унитарное предприятие ""КОМИАВИАТРАНС""";167981 ГСП-1, Р.Коми, г.Сыктывкар, ул.Советская,67;Сыктывкар, Ухта, Печора;Коми МТУ;"Ми-2; Ми-8"
419;Конверс Авиа;"ЗАО ""Авиационная компания Конверс Авиа""";170007,Тверская обл., Калининский р-н, а/п Змеево;Тверь(Змеево);МТУ Центр.район;"Ми-2; Ми-8; Ми-8МТВ"
