Фамилия;Имя;Отчество;День рождения;Выдвинувшая партия;Фракция и должность;Состоит в комитетах;Срок окончания полномочий;Адрес сайта
Тимченко;Вячеслав;Степанович;20/11/1955;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по вопросам местного самоуправления;02/12/2007;
Ткачев;Алексей;Николаевич;1/03/1957;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по транспорту;02/12/2007;
Толстопятов;Василий;Васильевич;17/09/1973;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;http://vtolstopyatov.ru/
Третьяк;Владислав;Александрович;25/04/1952;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по физической культуре и спорту;02/12/2007;
Туголуков;Евгений;Александрович;14/05/1970;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по природным ресурсам, природопользованию и экологии | Член Комиссии ГД по законодательному обеспечению деятельности субъектов естественных монополий, государственных корпораций и коммерческих организаций с государственным участием;02/12/2007;
Тумусов;Федот;Семёнович;30/06/1955;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по охране здоровья;02/12/2007;
Тягунов;Александр;Александрович;31/05/1940;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по культуре | Член Счетной комиссии ГД;02/12/2007;http://www.duma.gov.ru/tyagunov/
Улас;Владимир;Дмитриевич;13/04/1960;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по бюджету и налогам;02/12/2007;http://www.ulas-vladimir.ru/
Усачев;Виктор;Васильевич;11/12/1947;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по делам Федерации и региональной политике;02/12/2007;
Усольцев;Василий;Иванович;15/03/1963;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по проблемам Севера и Дальнего Востока | Член Счетной комиссии ГД;02/12/2007;
Фадзаев;Арсен;Сулейманович;5/09/1962;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам Содружества Независимых Государств и связям с соотечественниками;02/12/2007;
Фахритдинов;Иршат;Юнирович;1/02/1965;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по делам ветеранов;02/12/2007;
Федоров;Евгений;Алексеевич;11/05/1963;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по экономической политике и предпринимательству | Заместитель председателя Комиссии ГД по законодательному обеспечению деятельности субъектов естественных монополий, государственных корпораций и коммерческих организаций с государственным участием;02/12/2007;http://www.duma.gov.ru/fedorov/
Федоткин;Владимир;Николаевич;25/07/1947;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по бюджету и налогам;02/12/2007;
Фокин;Александр;Иванович;24/10/1954;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;
Фургал;Сергей;Иванович;12/02/1970;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Заместитель председателя Комитета ГД по делам Федерации и региональной политике;02/12/2007;
Фурман;Александр;Борисович;7/02/1956;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по вопросам местного самоуправления;02/12/2007;
Хаджебиеков;Руслан;Гиссович;23/03/1948;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по делам Федерации и региональной политике;02/12/2007;
Хайруллин;Айрат;Назипович;1/08/1970;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по аграрным вопросам;02/12/2007;
Хамчиев;Белан;Багаудинович;7/12/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам общественных объединений и религиозных организаций;02/12/2007;
Харитонов;Николай;Михайлович;30/10/1948;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Первый заместитель председателя Комитета ГД по аграрным вопросам;02/12/2007;
Хахичев;Владимир;Дмитриевич;15/11/1939;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по бюджету и налогам;02/12/2007;
Хесин;Михаил;Яковлевич;18/10/1948;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Заместитель председателя Комитета ГД по строительству и земельным отношениям;02/12/2007;
Хинштейн;Александр;Евсеевич;26/10/1974;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по промышленности | Член Комиссии ГД по законодательному обеспечению противодействия коррупции;02/12/2007;http://www.duma.gov.ru/hinshtein/
Хованская;Галина;Петровна;23/08/1943;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по строительству и земельным отношениям;02/12/2007;
Хор;Глеб;Яковлевич;8/04/1963;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по бюджету и налогам | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Хоркина;Светлана;Васильевна;19/01/1979;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам молодежи;02/12/2007;
Цветова;Любовь;Михайловна;30/08/1954;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по аграрным вопросам;02/12/2007;
Чайка;Валентин;Васильевич;2/07/1953;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по безопасности | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Черешнев;Валерий;Александрович;24/10/1944;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Председатель Комитета ГД по науке и наукоемким технологиям;02/12/2007;
Черкасов;Кирилл;Игоревич;3/04/1967;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по экономической политике и предпринимательству;02/12/2007;
Черкесова;Виктория;Валерьевна;27/01/1982;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по образованию;02/12/2007;
Чернышенко;Игорь;Константинович;25/08/1945;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по проблемам Севера и Дальнего Востока | Член Комиссии ГД по мандатным вопросам и вопросам депутатской этики;02/12/2007;http://www.chernyshenko.ru/
Чернявский;Валентин;Семёнович;3/07/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по безопасности | Член Комиссии ГД по законодательному обеспечению противодействия коррупции;02/12/2007;
Четвериков;Александр;Владимирович;8/06/1972;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по энергетике;02/12/2007;
Чижов;Сергей;Викторович;16/03/1964;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Чикин;Валентин;Васильевич;25/01/1932;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;
Чилингаров;Артур;Николаевич;25/09/1939;"""Единая Россия""";"Первый заместитель руководителя фракции ""Единая Россия""";Член Комитета ГД по обороне;02/12/2007;
