Фамилия;Имя;Отчество;День рождения;Выдвинувшая партия;Фракция и должность;Состоит в комитетах;Срок окончания полномочий;Адрес сайта
Пивненко;Валентина;Николаевна;14/06/1947;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по проблемам Севера и Дальнего Востока;02/12/2007;http://pivnenko.karelia.ru/
Питкевич;Михаил;Юрьевич;19/02/1979;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Заместитель председателя Комитета ГД по промышленности;02/12/2007;
Плахотников;Алексей;Михайлович;12/09/1958;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по собственности;02/12/2007;http://www.plakhotnikov.ru/
Плескачевский;Виктор;Семенович;27/09/1956;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по собственности;02/12/2007;
Плетнева;Тамара;Васильевна;22/11/1947;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Заместитель председателя Комитета ГД по делам ветеранов;02/12/2007;
Плигин;Владимир;Николаевич;19/05/1960;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по конституционному законодательству и государственному строительству;02/12/2007;
Пономарёв;Алексей;Алексеевич;22/03/1942;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по Регламенту и организации работы Государственной Думы;02/12/2007;
Пономарев;Илья;Владимирович;6/08/1975;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;
Попов;Александр;Васильевич;9/05/1947;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комиссии ГД по мандатным вопросам и вопросам депутатской этики | Член Комитета ГД по Регламенту и организации работы Государственной Думы;02/12/2007;
Попов;Сергей;Александрович;21/07/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по делам общественных объединений и религиозных организаций;02/12/2007;
Прозоровский;Валерий;Владимирович;24/04/1953;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по природным ресурсам, природопользованию и экологии;02/12/2007;http://www.prozorovsky.ru/
Пугачева;Наталья;Васильевна;26/10/1953;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;http://www.pugachevanv.ru/
Пузанов;Игорь;Евгеньевич;31/01/1947;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по обороне | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Разворотнев;Николай;Васильевич;9/04/1954;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по образованию;02/12/2007;
Расторгуев;Николай;Вячеславович;21/02/1957;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по культуре;03/02/2010;
Рашкин;Валерий;Федорович;14/03/1955;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по Регламенту и организации работы Государственной Думы | Член Комиссии ГД по мандатным вопросам и вопросам депутатской этики;02/12/2007;
Резник;Борис;Львович;12/02/1940;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;
Резник;Владислав;Матусович;17/05/1954;"""Единая Россия""";"Заместитель руководителя фракции ""Единая Россия""";Председатель Комитета ГД по финансовому рынку;02/12/2007;
Решульский;Сергей;Николаевич;21/09/1951;"""Коммунистическая партия Российской Федерации""";Первый заместитель руководителя фракции Коммунистической партии Российской Федерации;Член Комитета ГД по делам Федерации и региональной политике;02/12/2007;
