Номер по реестру;Наименование государственного первичного эталона;Институт-хранитель государственного первичного эталона
ГЭТ136-88;ГПСЭ единицы длины в области измерений параметров отклонений формы и расположения поверхностей вращения.;"ФГУП ""ВНИИМС"""
ГЭТ137-83;ГПСЭ единицы скорости водного потока;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ138-2003;ГПЭ единицы показателя преломления - эталонный комплекс единицы показателя преломления  ***) ***) Примечание: для газообразных веществ;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ138-2003;ГПЭ единицы показателя преломления - эталонный комплекс единицы показателя преломления ****) Примечание:  для твердых и жидких веществ;"ФГУП ""ВНИИОФИ"""
ГЭТ139-83;ГПЭ единицы электрической добротности;"ФГУП ""СНИИМ"""
ГЭТ140-84;ГПСЭ единицы давления для области периодических давлений в диапазоне1 – 100 МПа при частотах до 10 кГц;"ФГУП ""УНИИМ"""
ГЭТ141-84;ГПСЭ единицы теплопроводности твердых тел в диапазоне температур от 4,2 до 90 К;"ФГУП ""ВНИИФТРИ"""
ГЭТ143-85;ГПЭ единицы угла потерь;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ147-85;ГПСЭ единицы потока  импульсного оптического излучения в диапазоне длин волн 0.8 – 1.0 мкм;"ФГУП ""ВНИИОФИ"""
ГЭТ148-2009;ГПСЭ единиц максимальных значений напряженностей импульсных электрического и магнитного полей;"ФГУП ""ВНИИОФИ"""
ГЭТ149-85;ГПЭ единицы крутящего момента силы;"ФГУП ""УНИИМ"""
ГЭТ150-85;ГПСЭ единицы скорости воздушного потока;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ151-86;ГПЭ единицы относительной влажности газов.;"ФГУП ""ВНИИФТРИ"""
ГЭТ152-86;ГПСЭ единицы коэффициента и угла масштабного преобразованиясинусоидального тока (КМПСТ);"ФГУП ""УНИИМ"""
ГЭТ153-86;ГПСЭ единицы  электрической мощности в диапазоне частот 40 – 2500 Гц;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ154-01;ГПЭ единицы молярной доли и массовой концентрации компонентов в газовых средах;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ156-91;ГПЭ единиц спектрального коэффициента направленного пропускания в диапазоне 0.2 – 50 мкм, диффузного и зеркального отражений в диапазоне 0.2 – 2.5 мкм;"ФГУП ""ВНИИОФИ"""
ГЭТ157-92;ГПСЭ единицы энергетической освещенности малых уровней в диапазоне длин волн 1 – 50 мкм;"ФГУП ""ВНИИОФИ"""
ГЭТ158-96;ГПСЭ единицы напряженности электрического поля в диапазоне частот 0 – 20 кГц;"ФГУП ""ВНИИФТРИ"""
ГЭT 159-97;ГПСЭ единицы длины, скорости и ускорения для сейсмометрии в диапазоне частот 0.01 – 20 Гц;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ160-06;ГПЭ единицы плотности потока энергии электромагнитного поля в диапазоне частот от 0.3 – 178 ГГц;"ФГУП ""ВНИИФТРИ"""
ГЭТ161-01;ГПЭ твердости металлов по шкале твердости Шора D;"ФГУП ""ВНИИФТРИ"""
ГЭТ162-2009;ГПЭ единиц потока излучения и энергетической освещенности в диапазоне длин волн 0.03 – 0.4 мкм;"ФГУП ""ВНИИОФИ"""
ГЭТ163-03;ГПЭ единиц дисперсных параметров аэрозолей, взвесей и порошкообразных материалов;"ФГУП ""ВНИИФТРИ"""
ГЭТ164-2003;ГПСЭ единицы массовой концентрации частиц в аэродисперсных средах;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ165-2004;ГПСЭ единиц длины для параметров эвольвентных поверхностей и угла наклона линии зуба;"ФГУП ""ВНИИМС"""
ГЭТ166-04;ГПСЭ единицы девиации частоты;"ФГУП ""ВНИИФТРИ"""
ГЭТ167-05;ГПЭ единицы мощности электромагнитных колебаний в диапазоне частот от 37.5 до 53.57 ГГц;"ФГУП ""ВНИИФТРИ"""
ГЭТ168-2005;ГПСЭ единицы поверхностной плотности покрытий.;"ФГУП ""УНИИМ"""
ГЭТ169-05;ГПСЭ единицы мощности ультразвука в воде в диапазоне частот от 0,5 до 12,0 МГц;"ФГУП ""ВНИИФТРИ"""
ГЭТ170-2006;ГПСЭ единиц длины и времени распространения сигнала в световоде, средней мощности, ослабления и длины волны для волоконно-оптических систем передачи информации;"ФГУП ""ВНИИОФИ"""
ГЭТ171-07;ГПЭ показателей активности рХ ионов в водных растворах;"ФГУП ""ВНИИФТРИ"""
ГЭТ172-2008;ГПЭ единицы поверхностной плотности теплового потока;"ФГУП ""СНИИМ"""
ГЭТ173-2008;ГПЭ единицы массовой доли и массовой концентрации влаги в твердых веществах и материалах;ФГУП «УНИИМ»
ГЭТ174-2009;ГПЭ единиц относительных диэлектрической и магнитной проницаемостей в диапазоне частот от 1 МГц до 18 ГГц;ФГУП «СНИИМ»
ГЭТ175-2009;ГПСЭ единиц коэффициента  масштабного преобразования и угла фазового сдвига электрического напряжения  переменного тока  промышленной частоты;ФГУП «ВНИИМС»
