Категория эмитента;Идентификатор;Имя;Организация-эмитент;Область использования
Субъекты Российской Федерации (номера в соответствии с автомобильными кодами регионов);1.2.643.5.3.2;C=ru,o=REG5,o=Republic of Bashkortostan State Power Bodies;Органы государственной власти Республики Башкортостан;Удостоверяющий центр органов государственной власти Республики Башкортостан, взаимодействие между органами государственной власти Республики Башкортостан, информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, системы электронного документооборота с использованием ЭЦП
Субъекты Российской Федерации (номера в соответствии с автомобильными кодами регионов);1.2.643.5.3.11;"C=ru,o=REG5,o=State Agency Republic of Komi ""Center of Information Technology""";Государственное учреждение Республики Коми «Центр информационных технологий»;Удостоверяющий центр органов государственной власти Республики Коми, взаимодействие между органами государственной власти Республики Коми и муниципальными образованиями Республики Коми, информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, системы электронного документооборота с использованием ЭЦП, использование ЭЦП в электронных торговых системах.
Субъекты Российской Федерации (номера в соответствии с автомобильными кодами регионов);1.2.643.5.3.21;C=ru,o=REG5,o=  The State committee of the Chuvash Republic on communication and IT.    ;Государственный комитет Чувашской Республики по связи и информатизации, сокращенное наименование – Госкомсвязьинформ Чувашии  ;Удостоверяющий центр органов исполнительной власти Чувашской Республики, взаимодействие между органами государственной власти Чувашской Республики информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей, системы электронного документооборота с использованием ЭЦП. Разработка и реализация государственной политики в области связи, телекоммуникаций и информатизации, развитие инфокоммуникационной инфраструктуры Чувашской Республики.
Субъекты Российской Федерации (номера в соответствии с автомобильными кодами регионов);1.2.643.5.3.59;C=RU,o=REG5,o=SRF,O=Administration of Perm region;Аппарат администрации Пермской области;Информационные технологии,   обеспечение инфраструктуры открытых ключей.
Прочие организации;1.2.643.6;C=RU,o=REG 6;;Регистрация объектов, связанных c деятельностью, не указанной выше
Прочие организации;1.2.643.6.1;;зарезервировано;
Прочие организации;1.2.643.6.2;C=RU,o=REG6,o=FRSD  ;ЗАО «Первый Специализированный Депозитарий», г Москва;Деятельность на рынке паевых инвестиционных фондов. Организация систем электронного документооборота.
Прочие организации;1.2.643.6.3;C=RU,o=REG6,o=Association of Electronic Trade Platforms  ;Ассоциация Электронных Торговых Площадок;Использование в электронных торговых системах и в программном   обеспечении, связанном с обменом электронными документами.
Прочие организации;1.2.643.6.4;C=ru,o=REG3,o=Settlement depository company (Closed Joint Stock Company);"Закрытое акционерное общество ""Расчетно-депозитарная компания""";Использование в электронных торговых системах и в программном  обеспечении, связанном с обменом электронными документами.
Прочие организации;1.2.643.6.5;"C=ru,o=REG 6,o=Закрытое акционерное общество ""Специализированный Пенсионный Администратор""  ";Закрытое акционерное общество «Специализированный Пенсионный Администратор»  ;Деятельность на рынке обслуживания негосударственных пенсионных фондов. Организация систем электронного документооборота.
Прочие организации;1.2.643.6.6;"C=ru,o=REG6,o=""Atlas- 2"",  JSC";Закрытое акционерное общество «Атлас-2»   г. Владивосток ул.;"ДЕЛОВАЯ СЕТЬ - системы, сервисы и средства обработки документированной информации; платежные системы."
