Категория эмитента;Идентификатор;Имя;Организация-эмитент;Область использования
Удостоверяющие центры;1.2.643.3.2.1;"С=RU,o=REG3,o=JSC""UDC"",o=UEPR";СПб ГУП «УПРАВЛЕНИЕ ЭКОНОМИКО-ПРАВОВОГО РАЗВИТИЯ»;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.2.2;"С=RU,o=REG3,o=JSC""UDC"",o=Not state educational establishment of additional education "" Magic technologies plus";»Негосударственное образовательное учреждение дополнительного образования uu «Волшебные технологии плюс» г .А нгарск;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.2.3;"С=RU,o=REG3,o=JSC""UDC"",o=RBC SOFT";ЗАО «РБК СОФТ»;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.2.4;"С=RU,o=REG3,o=JSC""UDC"",o=""City information center"" municipal institution";Муниципальное учреждение «Городской информационный центр» г .В олгоград;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.2.5;"С=RU,o=REG3,o=JSC""UDC"",o=JSC-service";Закрытое акционерное общество ЦБИ-сервис / ЗАО ЦБИ-сервис Моск .о бл .;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.3;"C=RU,o=REG3,o=OJSC"" MOSGILREGISTRACIA""";ОАО “ Мосжилрегистрация;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.4;C=RU,o=REG3,o=MNS;Федеральная налоговая служба;Взаимодействие между органами государственной власти
Удостоверяющие центры;1.2.643.3.5;"C=RU,o=REG3,o=JSC "" InfoTeCS Internet Trust""";"ОАО "" ИнфоТеКС Интернет Траст";Поддержание ключевой инфраструктуры, в том числе и инфраструктуры открытых ключей (PKI), удостоверение и регистрация сертификатов ЭЦП
Удостоверяющие центры;1.2.643.3.6;"C=RU,o=REG3,o=STC""Atlas- Severo - Zapad ""   С 12.10.2009 C=RU,o=REG3,o="" С entrInform """;ДГУП НТЦ « Атлас-Северо-Запад » С 12 .10.2009 ФГУП “ ЦентрИнформ ”;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.7;C=RU,o=REG3,o=SKB Kontur;ЗАО «ПФ «СКБ Контур» ,г . Екатеринбург;Функции удостоверяющего центра
Удостоверяющие центры;1.2.643.3.7.1;C=RU,o=REG3,o=SKB Kontur,o=NOCHZI;ЗАО «ПФ «СКБ Контур» ,г . Екатеринбург;"Идентификация сертификатов открытых ключей, допустимых для использования в системе ""Налоговая отчетность через Интернет"""
Удостоверяющие центры;1.2.643.3.8;"C=RU,o=REG3,o=JSC""CA""";Закрытое Акционерное Общество «Удостоверяющий центр», г . Нижний Новгород;Защита информации, обеспечение инфраструктуры открытых ключей, открытие центров регистрации
Удостоверяющие центры;1.2.643.3.8.1;"C=RU,o=REG3,o=JSC""CA"",o=""Crypto-Volga""";"ООО "" Крипто-Волга "",г .С амара";Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.2;"C=RU,o=REG3,o=JSC""CA"",o="" Technosbyt -service""";ООО « Техносбыт-сервис », г .Е катеринбург;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.3;"C=RU,o=REG3,o=JSC""CA"",o=MITC";МУП «Муниципальный информационно-технологический центр»,г .У фа;Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.4;"C=RU,o=REG3,o=JSC""CA"",o="" ArtCom "" Ltd.";"Общество с ограниченной ответственностью "" АртКом "",г .У льяновск";Защита информации, обеспечение инфраструктуры открытых ключей
Удостоверяющие центры;1.2.643.3.8.5;"C=RU,o=REG3,o=JSC""CA"",o=""ICC ""Express"" Ltd.";"Общество с ограниченной ответственностью ""ИКЦ ""Экспресс"", г .У фа";Защита информации, обеспечение инфраструктуры открытых ключей
